transaction_id,invoice_id,transaction_date,invoice_date,due_date,vendor_id,vendor_name,vendor_type,category,cost_center,base_amount_inr,gst_percent,gst_amount_inr,total_amount_inr,currency,payment_method,payment_status,created_by,approver,approval_level,po_number,contract_id,invoice_present,gstin
TXN2026017,INV20260017,2026-01-11,2025-12-28,2026-01-31,V002,Infrasync Solutions Ltd,Technology,Technology,ADMIN,49588.94,12,5950.67,55539.61,INR,RTGS,Approved,Sneha Joshi,Sunita Menon,L1,PO2032869,CONV002-773,Yes,29AADCE5678F1Z3
TXN2026018,INV20260018,2026-03-16,2026-03-06,2026-04-16,V006,MediaReach Pvt Ltd,Marketing,Marketing,HR,119442.01,28,33443.76,152885.77,INR,UPI,Approved,Rohan Mehta,Lalitha Rajan,L2,PO2027189,CONV006-109,Yes,06AACCC5678K1Z4
TXN2026019,INV20260019,2026-02-28,2026-02-18,2026-04-02,V002,Infrasync Solutions Ltd,Technology,Marketing,IT,10159.35,18,1828.68,11988.03,INR,UPI,Approved,Siddharth Verma,Meenakshi Subramaniam,L1,PO2032055,CONV002-391,Yes,29AADCE5678F1Z3
TXN2026020,INV20260020,2026-01-21,2026-01-13,2026-03-03,V009,NetGuard Cybersec Ltd,Technology,Technology,IT,54754.15,18,9855.75,64609.9,INR,IMPS,Approved,Siddharth Verma,Abhijit Das,L1,PO2030334,CONV009-218,Yes,29AACCE8901N1Z8
TXN2026021,INV20260021,2026-04-24,2026-04-22,2026-06-01,V009,NetGuard Cybersec Ltd,Technology,HR Services,IT,52567.85,12,6308.14,58875.99,INR,RTGS,Approved,Arjun Pillai,Prakash Tiwari,L1,PO2034281,CONV009-600,No,29AACCE8901N1Z8
TXN2026022,INV20260022,2026-02-02,2026-01-18,2026-03-18,V014,LegalEdge Associates,Legal,Catering,MKT,14811.47,18,2666.06,17477.53,INR,UPI,Approved,Nikhil Desai,Prakash Tiwari,L1,PO2028648,CONV014-859,Yes,07AACCC3456T1Z9
TXN2026023,INV20260022,2026-02-26,2026-02-17,2026-04-04,V007,TalentBridge HR Pvt Ltd,HR Services,HR Services,FIN,7702.11,12,924.25,8626.36,INR,NEFT,Pending,Manish Gupta,Lalitha Rajan,L1,PO2035053,CONV007-251,Yes,27AACCD6789L1Z2
TXN2026024,INV20260005,2026-02-25,2026-02-22,2026-03-13,V005,SwiftLogix Pvt Ltd,Logistics,Logistics,FIN,12709.52,12,1525.14,14234.66,INR,UPI,Approved,Arjun Pillai,Girish Naik,L1,PO2029879,CONV005-985,Yes,
TXN2026025,INV20260025,2026-01-21,2026-01-08,2026-03-02,V003,PrintMate India Pvt Ltd,Stationery,Stationery,FIN,74811.19,18,13466.01,88277.2,INR,RTGS,Approved,Nikhil Desai,Meenakshi Subramaniam,L1,PO2030372,CONV003-263,Yes,
TXN2026026,INV20260026,2026-04-11,2026-03-30,2026-04-29,V007,TalentBridge HR Pvt Ltd,HR Services,HR Services,MKT,27889.32,28,7809.01,35698.33,INR,RTGS,Approved,Ananya Bose,Meenakshi Subramaniam,L1,PO2029653,CONV007-124,Yes,27AACCD6789L1Z2
TXN2026027,INV20260001,2026-03-26,2026-03-22,2026-04-22,V006,MediaReach Pvt Ltd,Marketing,Marketing,FIN,78586.23,28,22004.14,100590.37,INR,UPI,Approved,Arjun Pillai,Lalitha Rajan,L2,PO2027890,CONV006-998,Yes,
TXN2026028,INV20260028,2026-02-03,2026-01-31,2026-03-08,V005,SwiftLogix Pvt Ltd,Logistics,Travel,MKT,50465.66,18,9083.82,59549.48,INR,UPI,Approved,Vikram Patel,Sunita Menon,L1,PO2032312,CONV005-690,Yes,19AABCE4567J1Z7
TXN2026029,INV20260025,2026-01-25,2026-01-20,2026-02-10,V012,Pinnacle Consult LLP,Consulting,Consulting,IT,37347.3,12,4481.68,41828.98,INR,IMPS,Approved,Ananya Bose,Lalitha Rajan,L1,PO2031144,CONV012-779,Yes,06AACCE1234R1Z5
TXN2026030,INV20260030,2026-04-19,2026-04-17,2026-05-27,V015,DataVault Analytics Ltd,Technology,Technology,OPS,14546.58,18,2618.38,17164.96,INR,Cheque,Approved,Manish Gupta,Girish Naik,L1,PO2032212,CONV015-793,Yes,19AADCE4567U1Z1
TXN2026031,INV20260031,2026-04-06,2026-03-22,2026-04-26,V010,EliteTravel & Tours,Travel,Travel,MKT,20763.7,18,3737.47,24501.17,INR,IMPS,Approved,Suresh Reddy,Lalitha Rajan,L1,PO2033619,CONV010-552,Yes,09AABCC9012P1Z0
TXN2026032,INV20260032,2026-02-26,2026-02-15,2026-03-19,V009,NetGuard Cybersec Ltd,Technology,Technology,ADMIN,54789.04,18,9862.03,64651.07,INR,RTGS,Approved,Manish Gupta,Lalitha Rajan,L1,PO2027531,CONV009-938,No,29AACCE8901N1Z8
TXN2026033,INV20260033,2026-04-07,2026-04-03,2026-05-13,V005,SwiftLogix Pvt Ltd,Logistics,Logistics,HR,50845.55,12,6101.47,56947.02,INR,RTGS,Approved,Kavitha Krishnan,Sunita Menon,L1,PO2033462,CONV005-524,Yes,19AABCE4567J1Z7
TXN2026034,INV20260034,2026-04-24,2026-04-13,2026-05-27,V004,BuildRight Contractors,Facilities,Facilities,MKT,56571.68,12,6788.6,63360.28,INR,Cheque,Approved,Arjun Pillai,Sunita Menon,L1,PO2032966,CONV004-324,Yes,24AACCD3456H1Z9
TXN2026035,INV20260035,2026-01-23,2026-01-10,2026-03-09,V012,Pinnacle Consult LLP,Consulting,Consulting,FIN,15000.43,5,750.02,15750.45,INR,IMPS,Approved,Kavitha Krishnan,Vandana Chopra,L1,PO2034703,CONV012-672,Yes,06AACCE1234R1Z5
TXN2026036,INV20260018,2026-03-18,2026-03-12,2026-05-02,V013,FreshCafe Catering Ltd,Facilities,Facilities,IT,16936.84,28,4742.32,21679.16,INR,IMPS,Approved,Siddharth Verma,Vandana Chopra,L1,PO2030247,CONV013-869,Yes,24AABCF2345S1Z7
TXN2026037,INV20260037,2026-02-01,2026-01-18,2026-03-08,V005,SwiftLogix Pvt Ltd,Logistics,Logistics,IT,10811.25,18,1946.03,12757.28,INR,Cheque,Approved,Kavitha Krishnan,Prakash Tiwari,L1,PO2029842,CONV005-378,Yes,19AABCE4567J1Z7
TXN2026038,INV20260038,2026-02-12,2026-02-06,2026-03-27,V009,NetGuard Cybersec Ltd,Technology,Logistics,HR,36115.09,12,4333.81,40448.9,INR,Cheque,Approved,Priya Nair,Lalitha Rajan,L1,PO2034891,CONV009-577,Yes,29AACCE8901N1Z8
TXN2026039,INV20260039,2026-02-23,2026-02-22,2026-03-16,V014,LegalEdge Associates,Legal,Legal,IT,5442.21,28,1523.82,6966.03,INR,NEFT,Approved,Kavitha Krishnan,Lalitha Rajan,L1,PO2030893,CONV014-871,Yes,07AACCC3456T1Z9
TXN2026040,INV20260040,2026-02-19,2026-02-05,2026-04-03,V014,LegalEdge Associates,Legal,Legal,ADMIN,21456.62,12,2574.79,24031.41,INR,IMPS,Approved,Kavitha Krishnan,Girish Naik,L1,PO2033957,CONV014-129,Yes,
TXN2026041,INV20260041,2026-02-19,2026-02-13,2026-03-27,V011,SkyAds Digital Pvt Ltd,Marketing,Marketing,ADMIN,45059.27,12,5407.11,50466.38,INR,RTGS,Approved,Sneha Joshi,Girish Naik,L1,PO2035698,CONV011-677,Yes,
TXN2026042,INV20260042,2026-03-26,2026-03-25,2026-04-12,V011,SkyAds Digital Pvt Ltd,Marketing,Marketing,MKT,20874.52,28,5844.87,26719.39,INR,RTGS,Approved,Ananya Bose,Lalitha Rajan,L1,PO2031530,CONV011-879,Yes,27AADCD0123Q1Z3
TXN2026043,INV20260043,2026-04-23,2026-04-16,2026-05-16,V013,FreshCafe Catering Ltd,Facilities,Facilities,MKT,61176.82,28,17129.51,78306.33,INR,UPI,Approved,Aakash Sharma,Rajesh Khanna,L1,PO2031734,CONV013-329,Yes,24AABCF2345S1Z7
TXN2026044,INV20260044,2026-03-25,2026-03-23,2026-05-03,V011,SkyAds Digital Pvt Ltd,Marketing,Software,HR,14466.57,12,1735.99,16202.56,INR,RTGS,Approved,Deepika Iyer,Sunita Menon,L1,PO2035241,CONV011-323,Yes,27AADCD0123Q1Z3
TXN2026045,INV20260045,2026-03-01,2026-02-17,2026-03-24,V013,FreshCafe Catering Ltd,Facilities,Facilities,IT,66447.59,5,3322.38,69769.97,INR,IMPS,Pending,Nikhil Desai,Prakash Tiwari,L1,PO2027772,CONV013-692,Yes,24AABCF2345S1Z7
TXN2026046,INV20260046,2026-01-04,2025-12-20,2026-01-28,V010,EliteTravel & Tours,Travel,Travel,MKT,49407.34,12,5928.88,55336.22,INR,Cheque,Pending,Priya Nair,Meenakshi Subramaniam,L1,PO2027670,CONV010-813,Yes,09AABCC9012P1Z0
TXN2026047,INV20260047,2026-04-09,2026-04-04,2026-05-21,V011,SkyAds Digital Pvt Ltd,Marketing,Marketing,FIN,37128.35,18,6683.1,43811.45,INR,IMPS,Approved,Manish Gupta,Lalitha Rajan,L1,PO2027130,CONV011-618,Yes,27AADCD0123Q1Z3
TXN2026048,INV20260048,2026-03-24,2026-03-18,2026-04-08,V014,LegalEdge Associates,Legal,Legal,MKT,71868.13,18,12936.26,84804.39,INR,NEFT,Approved,Arjun Pillai,Vandana Chopra,L1,PO2028507,CONV014-545,Yes,07AACCC3456T1Z9
TXN2026049,INV20260049,2026-01-23,2026-01-11,2026-02-23,V011,SkyAds Digital Pvt Ltd,Marketing,Marketing,IT,68878.49,18,12398.13,81276.62,INR,Cheque,Approved,Ananya Bose,Sunita Menon,L1,PO2030570,CONV011-561,Yes,27AADCD0123Q1Z3
TXN2026050,INV20260050,2026-02-01,2026-01-19,2026-03-02,V010,EliteTravel & Tours,Travel,Travel,MKT,125660.35,18,22618.86,148279.21,INR,UPI,Approved,Rohan Mehta,Prakash Tiwari,L2,PO2031577,CONV010-386,Yes,09AABCC9012P1Z0
TXN2026051,INV20260051,2026-04-23,2026-04-13,2026-05-30,V015,DataVault Analytics Ltd,Technology,Technology,FIN,59005.6,5,2950.28,61955.88,INR,IMPS,Pending,Deepika Iyer,Vandana Chopra,L1,,CONV015-668,Yes,19AADCE4567U1Z1
TXN2026052,INV20260052,2026-04-08,2026-04-04,2026-05-15,V008,GreenOffice Supplies,Stationery,Stationery,MKT,21619.73,5,1080.99,22700.72,INR,Cheque,Approved,Suresh Reddy,Meenakshi Subramaniam,L1,PO2031017,CONV008-779,Yes,33AABCF7890M1Z6
TXN2026053,INV20260053,2026-03-16,2026-03-10,2026-04-15,V009,NetGuard Cybersec Ltd,Technology,Technology,MKT,27996.72,28,7839.08,35835.8,INR,IMPS,Approved,Suresh Reddy,Meenakshi Subramaniam,L1,PO2027977,CONV009-838,Yes,29AACCE8901N1Z8
TXN2026054,INV20260054,2026-01-25,2026-01-19,2026-02-12,V012,Pinnacle Consult LLP,Consulting,Consulting,ADMIN,59343.88,28,16616.29,75960.17,INR,RTGS,Approved,Suresh Reddy,Prakash Tiwari,L1,PO2027648,CONV012-952,Yes,06AACCE1234R1Z5
TXN2026055,INV20260055,2026-01-25,2026-01-20,2026-02-16,V006,MediaReach Pvt Ltd,Marketing,Software,ADMIN,46501.92,5,2325.1,48827.02,INR,IMPS,Approved,Aakash Sharma,Abhijit Das,L1,PO2034043,CONV006-205,Yes,06AACCC5678K1Z4
TXN2026056,INV20260011,2026-04-22,2026-04-21,2026-05-25,V005,SwiftLogix Pvt Ltd,Logistics,Logistics,MKT,75579.77,5,3778.99,79358.76,INR,UPI,Approved,Suresh Reddy,Vandana Chopra,L1,PO2027071,CONV005-510,Yes,
TXN2026057,INV20260057,2026-03-04,2026-03-02,2026-04-06,V011,SkyAds Digital Pvt Ltd,Marketing,Marketing,HR,79543.86,18,14317.89,93861.75,INR,RTGS,Approved,Priya Nair,Sunita Menon,L1,,CONV011-671,Yes,27AADCD0123Q1Z3
TXN2026058,INV20260025,2026-04-08,2026-04-01,2026-05-12,V010,EliteTravel & Tours,Travel,Travel,HR,69512.5,28,19463.5,88976.0,INR,IMPS,Approved,Suresh Reddy,Girish Naik,L1,PO2035317,CONV010-735,Yes,09AABCC9012P1Z0
TXN2026059,INV20260059,2026-01-08,2025-12-29,2026-02-22,V012,Pinnacle Consult LLP,Consulting,Marketing,ADMIN,161457.46,5,8072.87,169530.33,INR,RTGS,Approved,Rohan Mehta,Abhijit Das,L2,PO2026044,CONV012-518,Yes,06AACCE1234R1Z5
TXN2026060,INV20260049,2026-02-27,2026-02-15,2026-04-02,V008,GreenOffice Supplies,Stationery,Stationery,HR,56553.87,28,15835.08,72388.95,INR,UPI,Approved,Priya Nair,Prakash Tiwari,L1,PO2035664,CONV008-777,Yes,33AABCF7890M1Z6
TXN2026061,INV20260061,2026-04-13,2026-03-29,2026-05-04,V007,TalentBridge HR Pvt Ltd,HR Services,Marketing,ADMIN,9472.85,12,1136.74,10609.59,INR,RTGS,Pending,Priya Nair,Prakash Tiwari,L1,PO2035750,CONV007-866,Yes,27AACCD6789L1Z2
TXN2026062,INV20260062,2026-04-16,2026-04-06,2026-05-30,V005,SwiftLogix Pvt Ltd,Logistics,Logistics,MKT,45498.62,18,8189.75,53688.37,INR,UPI,Approved,Manish Gupta,Vandana Chopra,L1,PO2027318,CONV005-712,Yes,19AABCE4567J1Z7
TXN2026063,INV20260045,2026-01-06,2025-12-22,2026-02-03,V012,Pinnacle Consult LLP,Consulting,Consulting,OPS,55421.12,5,2771.06,58192.18,INR,NEFT,Approved,Nikhil Desai,Prakash Tiwari,L1,PO2026660,CONV012-881,Yes,06AACCE1234R1Z5
TXN2026064,INV20260064,2026-04-07,2026-04-04,2026-05-07,V009,NetGuard Cybersec Ltd,Technology,Technology,OPS,66068.37,28,18499.14,84567.51,INR,RTGS,Rejected,Arjun Pillai,Sunita Menon,L1,PO2033701,CONV009-456,Yes,29AACCE8901N1Z8
TXN2026065,INV20260065,2026-02-22,2026-02-16,2026-03-19,V011,SkyAds Digital Pvt Ltd,Marketing,Logistics,OPS,75889.52,18,13660.11,89549.63,INR,Cheque,Approved,Arjun Pillai,Rajesh Khanna,L1,PO2033452,CONV011-190,Yes,27AADCD0123Q1Z3
TXN2026066,INV20260066,2026-02-10,2026-02-05,2026-03-07,V002,Infrasync Solutions Ltd,Technology,Technology,MKT,70202.56,5,3510.13,73712.69,INR,IMPS,Approved,Arjun Pillai,Vandana Chopra,L1,PO2032771,CONV002-155,Yes,29AADCE5678F1Z3
TXN2026067,INV20260067,2026-01-25,2026-01-16,2026-02-20,V010,EliteTravel & Tours,Travel,Travel,ADMIN,46191.47,12,5542.98,51734.45,INR,Cheque,Approved,Suresh Reddy,Prakash Tiwari,L1,PO2033179,CONV010-815,Yes,09AABCC9012P1Z0
TXN2026068,INV20260068,2026-03-04,2026-03-02,2026-03-19,V011,SkyAds Digital Pvt Ltd,Marketing,Marketing,HR,35599.3,5,1779.96,37379.26,INR,RTGS,Approved,Manish Gupta,Meenakshi Subramaniam,L1,PO2027859,CONV011-572,No,27AADCD0123Q1Z3
TXN2026069,INV20260069,2026-01-16,2026-01-05,2026-02-26,V003,PrintMate India Pvt Ltd,Stationery,Stationery,ADMIN,67604.3,18,12168.77,79773.07,INR,UPI,Approved,Vikram Patel,Vandana Chopra,L1,PO2029994,CONV003-567,Yes,07AABCF2345G1Z1
TXN2026070,INV20260070,2026-03-12,2026-03-09,2026-04-08,V004,BuildRight Contractors,Facilities,Facilities,IT,64250.46,18,11565.08,75815.54,INR,RTGS,Approved,Nikhil Desai,Girish Naik,L1,PO2031569,CONV004-906,Yes,24AACCD3456H1Z9
TXN2026071,INV20260030,2026-03-06,2026-03-01,2026-04-16,V001,CloudNova Pvt Ltd,Technology,Technology,OPS,16144.66,28,4520.5,20665.16,INR,IMPS,Approved,Pooja Rao,Vandana Chopra,L1,PO2031447,CONV001-665,Yes,27AABCC1234D1Z5
TXN2026072,INV20260072,2026-04-08,2026-03-30,2026-05-05,V008,GreenOffice Supplies,Stationery,Stationery,HR,63165.84,12,7579.9,70745.74,INR,RTGS,Approved,Pooja Rao,Rajesh Khanna,L1,,CONV008-425,Yes,
TXN2026073,INV20260073,2026-04-06,2026-03-29,2026-05-13,V015,DataVault Analytics Ltd,Technology,Technology,MKT,42671.84,5,2133.59,44805.43,INR,RTGS,Approved,Rohan Mehta,Lalitha Rajan,L1,PO2027645,CONV015-995,Yes,19AADCE4567U1Z1
TXN2026074,INV20260074,2026-04-19,2026-04-11,2026-05-07,V009,NetGuard Cybersec Ltd,Technology,Technology,FIN,40211.8,12,4825.42,45037.22,INR,RTGS,Approved,Priya Nair,Prakash Tiwari,L1,PO2031547,CONV009-738,Yes,29AACCE8901N1Z8
TXN2026075,INV20260075,2026-03-30,2026-03-23,2026-05-04,V002,Infrasync Solutions Ltd,Technology,Technology,ADMIN,274921.88,18,49485.94,324407.82,INR,IMPS,Approved,Arjun Pillai,Rajesh Khanna,L3,PO2027122,CONV002-340,Yes,29AADCE5678F1Z3
TXN2026076,INV20260076,2026-03-22,2026-03-11,2026-05-05,V005,SwiftLogix Pvt Ltd,Logistics,Logistics,ADMIN,52531.09,5,2626.55,55157.64,INR,NEFT,Approved,Nikhil Desai,Sunita Menon,L1,PO2033270,CONV005-270,No,19AABCE4567J1Z7
TXN2026077,INV20260077,2026-03-30,2026-03-25,2026-05-12,V001,CloudNova Pvt Ltd,Technology,Software,OPS,44837.47,12,5380.5,50217.97,INR,UPI,Approved,Deepika Iyer,Abhijit Das,L1,PO2028786,CONV001-279,Yes,27AABCC1234D1Z5
TXN2026078,INV20260078,2026-01-11,2026-01-01,2026-02-22,V007,TalentBridge HR Pvt Ltd,HR Services,HR Services,HR,39586.24,12,4750.35,44336.59,INR,Cheque,Pending,Deepika Iyer,Prakash Tiwari,L1,PO2033530,CONV007-361,Yes,27AACCD6789L1Z2
TXN2026079,INV20260079,2026-03-27,2026-03-26,2026-05-09,V013,FreshCafe Catering Ltd,Facilities,Facilities,OPS,79073.88,28,22140.69,101214.57,INR,IMPS,Approved,Ananya Bose,Prakash Tiwari,L2,PO2032952,CONV013-806,Yes,24AABCF2345S1Z7
TXN2026080,INV20260080,2026-02-02,2026-01-25,2026-03-16,V005,SwiftLogix Pvt Ltd,Logistics,Facilities,MKT,27190.43,18,4894.28,32084.71,INR,NEFT,Approved,Sneha Joshi,Prakash Tiwari,L1,PO2026360,CONV005-949,Yes,19AABCE4567J1Z7
TXN2026081,INV20260081,2026-03-26,2026-03-19,2026-04-18,V001,CloudNova Pvt Ltd,Technology,Technology,ADMIN,72811.65,28,20387.26,93198.91,INR,NEFT,Pending,Pooja Rao,Prakash Tiwari,L1,PO2029771,CONV001-721,Yes,27AABCC1234D1Z5
TXN2026082,INV20260082,2026-04-13,2026-04-07,2026-05-05,V011,SkyAds Digital Pvt Ltd,Marketing,HR Services,ADMIN,64145.79,5,3207.29,67353.08,INR,RTGS,Approved,Suresh Reddy,Rajesh Khanna,L1,PO2035496,CONV011-473,Yes,27AADCD0123Q1Z3
TXN2026083,INV20260083,2026-04-04,2026-04-01,2026-04-21,V015,DataVault Analytics Ltd,Technology,Technology,ADMIN,45455.58,12,5454.67,50910.25,INR,Cheque,Approved,Nikhil Desai,Lalitha Rajan,L1,PO2034698,CONV015-613,Yes,19AADCE4567U1Z1
TXN2026084,INV20260084,2026-04-27,2026-04-22,2026-06-07,V003,PrintMate India Pvt Ltd,Stationery,Stationery,MKT,13637.73,18,2454.79,16092.52,INR,UPI,Approved,Nikhil Desai,Sunita Menon,L1,PO2028307,CONV003-872,Yes,07AABCF2345G1Z1
TXN2026085,INV20260085,2026-01-29,2026-01-15,2026-03-06,V012,Pinnacle Consult LLP,Consulting,Consulting,MKT,24834.39,28,6953.63,31788.02,INR,IMPS,Approved,Aakash Sharma,Sunita Menon,L1,PO2033452,CONV012-477,Yes,06AACCE1234R1Z5
TXN2026086,INV20260086,2026-03-28,2026-03-16,2026-05-03,V005,SwiftLogix Pvt Ltd,Logistics,Logistics,ADMIN,6876.85,12,825.22,7702.07,INR,UPI,Approved,Kavitha Krishnan,Lalitha Rajan,L1,PO2035996,CONV005-326,Yes,19AABCE4567J1Z7
TXN2026087,INV20260087,2026-03-24,2026-03-22,2026-04-28,V014,LegalEdge Associates,Legal,Legal,ADMIN,8401.01,5,420.05,8821.06,INR,UPI,Approved,Rohan Mehta,Rajesh Khanna,L1,PO2030987,CONV014-604,Yes,
TXN2026088,INV20260088,2026-01-15,2026-01-13,2026-02-06,V015,DataVault Analytics Ltd,Technology,Technology,MKT,60670.18,28,16987.65,77657.83,INR,Cheque,Approved,Sneha Joshi,Abhijit Das,L1,PO2032798,CONV015-770,Yes,
TXN2026089,INV20260089,2026-01-13,2025-12-30,2026-02-12,V010,EliteTravel & Tours,Travel,Travel,OPS,38352.19,12,4602.26,42954.45,INR,NEFT,Approved,Kavitha Krishnan,Meenakshi Subramaniam,L1,PO2031943,CONV010-201,No,09AABCC9012P1Z0
TXN2026090,INV20260090,2026-03-29,2026-03-23,2026-04-30,V015,DataVault Analytics Ltd,Technology,Technology,OPS,76175.81,12,9141.1,85316.91,INR,NEFT,Approved,Priya Nair,Vandana Chopra,L1,PO2027502,CONV015-778,Yes,19AADCE4567U1Z1
TXN2026091,INV20260091,2026-01-28,2026-01-17,2026-03-04,V010,EliteTravel & Tours,Travel,Travel,FIN,47343.35,12,5681.2,53024.55,INR,UPI,Approved,Nikhil Desai,Sunita Menon,L1,PO2035081,CONV010-312,Yes,09AABCC9012P1Z0
TXN2026092,INV20260092,2026-03-17,2026-03-13,2026-04-27,V014,LegalEdge Associates,Legal,Legal,HR,45516.16,12,5461.94,50978.1,INR,IMPS,Approved,Rohan Mehta,Abhijit Das,L1,PO2027802,CONV014-776,Yes,
TXN2026093,INV20260093,2026-04-21,2026-04-20,2026-05-10,V001,CloudNova Pvt Ltd,Technology,Technology,HR,188240.35,12,22588.84,210829.19,INR,IMPS,Approved,Suresh Reddy,Sunita Menon,L3,PO2027042,CONV001-587,Yes,27AABCC1234D1Z5
TXN2026094,INV20260094,2026-02-27,2026-02-14,2026-03-25,V009,NetGuard Cybersec Ltd,Technology,Technology,MKT,63742.02,5,3187.1,66929.12,INR,IMPS,Approved,Ritu Singh,Prakash Tiwari,L1,PO2033505,CONV009-758,Yes,29AACCE8901N1Z8
TXN2026095,INV20260095,2026-01-04,2026-01-03,2026-02-03,V014,LegalEdge Associates,Legal,Legal,ADMIN,72445.01,28,20284.6,92729.61,INR,NEFT,Approved,Priya Nair,Lalitha Rajan,L1,PO2035967,CONV014-251,Yes,07AACCC3456T1Z9
TXN2026096,INV20260096,2026-01-09,2026-01-06,2026-02-01,V010,EliteTravel & Tours,Travel,Travel,IT,42916.33,18,7724.94,50641.27,INR,UPI,Approved,Kavitha Krishnan,Girish Naik,L1,PO2027625,CONV010-912,Yes,09AABCC9012P1Z0
